X,Erf
1e-10,1.1283791670955126e-10
-1e-10,-1.1283791670955126e-10
-10.0,-1.0
-9.998,-1.0
-9.996,-1.0
-9.994,-1.0
-9.992,-1.0
-9.99,-1.0
-9.988,-1.0
-9.986,-1.0
-9.984,-1.0
-9.982,-1.0
-9.98,-1.0
-9.978,-1.0
-9.976,-1.0
-9.974,-1.0
-9.972,-1.0
-9.97,-1.0
-9.968,-1.0
-9.966,-1.0
-9.964,-1.0
-9.962,-1.0
-9.96,-1.0
-9.958,-1.0
-9.956,-1.0
-9.954,-1.0
-9.952,-1.0
-9.95,-1.0
-9.948,-1.0
-9.946,-1.0
-9.944,-1.0
-9.942,-1.0
-9.94,-1.0
-9.938,-1.0
-9.936,-1.0
-9.934,-1.0
-9.932,-1.0
-9.93,-1.0
-9.928,-1.0
-9.926,-1.0
-9.924,-1.0
-9.922,-1.0
-9.92,-1.0
-9.918,-1.0
-9.916,-1.0
-9.914,-1.0
-9.912,-1.0
-9.91,-1.0
-9.908,-1.0
-9.906,-1.0
-9.904,-1.0
-9.902,-1.0
-9.9,-1.0
-9.898,-1.0
-9.896,-1.0
-9.894,-1.0
-9.892,-1.0
-9.89,-1.0
-9.888,-1.0
-9.886,-1.0
-9.884,-1.0
-9.882,-1.0
-9.88,-1.0
-9.878,-1.0
-9.876,-1.0
-9.874,-1.0
-9.872,-1.0
-9.87,-1.0
-9.868,-1.0
-9.866,-1.0
-9.864,-1.0
-9.862,-1.0
-9.86,-1.0
-9.858,-1.0
-9.856,-1.0
-9.854,-1.0
-9.852,-1.0
-9.85,-1.0
-9.848,-1.0
-9.846,-1.0
-9.844,-1.0
-9.842,-1.0
-9.84,-1.0
-9.838,-1.0
-9.836,-1.0
-9.834,-1.0
-9.832,-1.0
-9.83,-1.0
-9.828,-1.0
-9.826,-1.0
-9.824,-1.0
-9.822,-1.0
-9.82,-1.0
-9.818,-1.0
-9.816,-1.0
-9.814,-1.0
-9.812,-1.0
-9.81,-1.0
-9.808,-1.0
-9.806,-1.0
-9.804,-1.0
-9.802,-1.0
-9.8,-1.0
-9.798,-1.0
-9.796,-1.0
-9.794,-1.0
-9.792,-1.0
-9.79,-1.0
-9.788,-1.0
-9.786,-1.0
-9.784,-1.0
-9.782,-1.0
-9.78,-1.0
-9.778,-1.0
-9.776,-1.0
-9.774,-1.0
-9.772,-1.0
-9.77,-1.0
-9.768,-1.0
-9.766,-1.0
-9.764,-1.0
-9.762,-1.0
-9.76,-1.0
-9.758,-1.0
-9.756,-1.0
-9.754,-1.0
-9.752,-1.0
-9.75,-1.0
-9.748,-1.0
-9.746,-1.0
-9.744,-1.0
-9.742,-1.0
-9.74,-1.0
-9.738,-1.0
-9.736,-1.0
-9.734,-1.0
-9.732,-1.0
-9.73,-1.0
-9.728,-1.0
-9.725999999999999,-1.0
-9.724,-1.0
-9.722,-1.0
-9.72,-1.0
-9.718,-1.0
-9.716,-1.0
-9.714,-1.0
-9.712,-1.0
-9.71,-1.0
-9.708,-1.0
-9.706,-1.0
-9.704,-1.0
-9.702,-1.0
-9.7,-1.0
-9.698,-1.0
-9.696,-1.0
-9.694,-1.0
